shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_3592,34.748348,-118.795868,516,78795.21518489
p_3592,34.748123,-118.795876,517,78820.18652538
p_3592,34.747452,-118.795921,518,78894.73851636
p_3592,34.746708,-118.795998,519,78977.57547504
p_3592,34.746059,-118.796089,520,79050.05350043
p_3592,34.745464,-118.796181,521,79116.59580543
p_3592,34.7295,-118.799042,522,80906.85087813
p_3592,34.728821,-118.799156,523,80982.89635217
p_3592,34.728157,-118.799255,524,81057.11356544
p_3592,34.727497,-118.799332,525,81130.66992352
p_3592,34.726852,-118.799377,526,81202.34198233
p_3592,34.726223,-118.799408,527,81272.17820228
p_3592,34.725616,-118.799423,528,81339.530104
p_3592,34.724998,-118.799423,529,81408.08827615
p_3592,34.724335,-118.799393,530,81481.68985028
p_3592,34.723633,-118.799347,531,81559.68048346
p_3592,34.714508,-118.798637,532,82574.05335173
p_3592,34.714085,-118.798599,533,82621.10793854
p_3592,34.713669,-118.798538,534,82667.5941118
p_3592,34.713223,-118.798454,535,82717.66606013
p_3592,34.712799,-118.79834,536,82765.84797827
p_3592,34.712364,-118.798187,537,82816.09901132
p_3592,34.712009,-118.79805,538,82857.43241342
p_3592,34.711578,-118.797859,539,82908.34643532
p_3592,34.708176,-118.796371,540,83309.61163253
p_3592,34.707676,-118.79615,541,83368.65874638
p_3592,34.703415,-118.794273,542,83871.66021701
p_3592,34.703041,-118.794106,543,83915.88111576
p_3592,34.702599,-118.79393,544,83967.49768458
p_3592,34.702221,-118.793793,545,84011.26935637
p_3592,34.701794,-118.793633,546,84060.85496705
p_3592,34.701332,-118.79348,547,84113.98935849
p_3592,34.699036,-118.792725,548,84377.92221291
